what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779178791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337779182213
activated,editor,org.eclipse.bpel.ui,0.5.0.wso2v2,"org.eclipse.bpel.ui.bpeleditor",1337779185420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1337779191365
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337779233510
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1337779236250
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1337779236408
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337779242358
activated,editor,org.wso2.developerstudio.eclipse.distribution.project,2.0.0,"org.wso2.developerstudio.eclipse.distribution.project.editor.DistProjectEditor",1337779250826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779261141
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779293364
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779297552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779315846
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1337779321034
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779325195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779377831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779388426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779388694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779392823
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.publish",1337779392926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779393326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779393401
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779398207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779403481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779415202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779416942
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779434821
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337779447876
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1337779458171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779461087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779462964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779463376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779463617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337779463624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779476838
error,log,,,"The specified operation is not supported",1337779478225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779478233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1337779478316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779481799
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1337779508316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779516773
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.publish",1337779540800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779541230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779541637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779545132
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1337779703973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1337779704100
